array_size,batch_size,time_cpu,time_gpu
8,1,2.000000,0.087744
8,1,1.000000,0.081664
8,1,1.000000,0.080064
8,1,1.000000,0.080992
8,1,1.000000,0.084064
8,8,5.000000,0.085824
8,8,5.000000,0.083968
8,8,5.000000,0.081376
8,8,5.000000,0.085408
8,8,5.000000,0.085056
8,16,9.000000,0.083968
8,16,10.000000,0.085280
8,16,9.000000,0.085216
8,16,9.000000,0.085696
8,16,9.000000,0.085216
8,32,18.000000,0.085632
8,32,19.000000,0.086016
8,32,19.000000,0.084288
8,32,18.000000,0.086016
8,32,18.000000,0.084736
8,64,47.000000,0.085792
8,64,36.000000,0.085696
8,64,35.000000,0.084352
8,64,38.000000,0.086016
8,64,36.000000,0.086016
8,128,75.000000,0.086016
8,128,71.000000,0.086528
8,128,74.000000,0.086336
8,128,75.000000,0.086560
8,128,72.000000,0.087936
8,512,276.000000,0.173632
8,512,278.000000,0.170816
8,512,279.000000,0.174048
8,512,255.000000,0.171744
8,512,277.000000,0.172352
8,1024,558.000000,0.336224
8,1024,540.000000,0.333280
8,1024,551.000000,0.335136
8,1024,533.000000,0.336352
8,1024,631.000000,0.333440
16,1,2.000000,0.137920
16,1,2.000000,0.140800
16,1,1.000000,0.133120
16,1,1.000000,0.135168
16,1,1.000000,0.136800
16,8,11.000000,0.138368
16,8,11.000000,0.138240
16,8,12.000000,0.143360
16,8,11.000000,0.142624
16,8,10.000000,0.141120
16,16,33.000000,0.143360
16,16,22.000000,0.141312
16,16,21.000000,0.141312
16,16,22.000000,0.138720
16,16,21.000000,0.143104
16,32,41.000000,0.141312
16,32,41.000000,0.141760
16,32,43.000000,0.140416
16,32,41.000000,0.141984
16,32,40.000000,0.141600
16,64,81.000000,0.141312
16,64,81.000000,0.142560
16,64,82.000000,0.141440
16,64,84.000000,0.141792
16,64,80.000000,0.141344
16,128,165.000000,0.147456
16,128,150.000000,0.145024
16,128,160.000000,0.144416
16,128,149.000000,0.145600
16,128,161.000000,0.144352
16,512,750.000000,0.290688
16,512,780.000000,0.294976
16,512,646.000000,0.287840
16,512,656.000000,0.290816
16,512,652.000000,0.292416
16,1024,1271.000000,0.571008
16,1024,1319.000000,0.564288
16,1024,1285.000000,0.571296
16,1024,1217.000000,0.562720
16,1024,1450.000000,0.573632
32,1,3.000000,0.238688
32,1,4.000000,0.234048
32,1,3.000000,0.234912
32,1,3.000000,0.234976
32,1,4.000000,0.239616
32,8,29.000000,0.241472
32,8,23.000000,0.239264
32,8,22.000000,0.242144
32,8,23.000000,0.238656
32,8,21.000000,0.246176
32,16,45.000000,0.243360
32,16,46.000000,0.242528
32,16,43.000000,0.241664
32,16,45.000000,0.243584
32,16,49.000000,0.242656
32,32,89.000000,0.242816
32,32,92.000000,0.242272
32,32,91.000000,0.241920
32,32,90.000000,0.241536
32,32,90.000000,0.242848
32,64,181.000000,0.242016
32,64,228.000000,0.241728
32,64,183.000000,0.241664
32,64,182.000000,0.243072
32,64,178.000000,0.241824
32,128,566.000000,0.246944
32,128,335.000000,0.246464
32,128,354.000000,0.245024
32,128,331.000000,0.244832
32,128,446.000000,0.243840
32,512,1894.000000,0.493664
32,512,1415.000000,0.496448
32,512,1355.000000,0.506400
32,512,1437.000000,0.500192
32,512,1418.000000,0.497664
32,1024,2634.000000,0.976672
32,1024,2609.000000,0.985696
32,1024,2600.000000,0.979840
32,1024,3431.000000,0.973120
32,1024,2945.000000,0.977056
64,1,6.000000,0.428384
64,1,6.000000,0.432544
64,1,6.000000,0.424576
64,1,7.000000,0.423168
64,1,6.000000,0.428480
64,8,49.000000,0.435136
64,8,49.000000,0.437696
64,8,49.000000,0.432224
64,8,70.000000,0.431968
64,8,64.000000,0.437568
64,16,97.000000,0.430560
64,16,133.000000,0.432256
64,16,98.000000,0.435808
64,16,104.000000,0.437184
64,16,105.000000,0.434304
64,32,195.000000,0.436224
64,32,287.000000,0.436224
64,32,190.000000,0.432128
64,32,198.000000,0.436672
64,32,197.000000,0.434176
64,64,402.000000,0.439040
64,64,411.000000,0.438208
64,64,385.000000,0.438336
64,64,380.000000,0.438688
64,64,453.000000,0.437280
64,128,857.000000,0.450464
64,128,877.000000,0.449152
64,128,772.000000,0.448512
64,128,920.000000,0.448480
64,128,772.000000,0.454880
64,512,2985.000000,0.943040
64,512,3017.000000,0.944640
64,512,3060.000000,0.944672
64,512,2889.000000,0.944416
64,512,2850.000000,0.944800
64,1024,5784.000000,1.852480
64,1024,6373.000000,1.853344
64,1024,5682.000000,1.852192
64,1024,5962.000000,1.855072
64,1024,5972.000000,1.849280
128,1,13.000000,0.818272
128,1,13.000000,0.820928
128,1,14.000000,0.813472
128,1,21.000000,0.813056
128,1,13.000000,0.824576
128,8,149.000000,0.820672
128,8,105.000000,0.824704
128,8,104.000000,0.827392
128,8,105.000000,0.823296
128,8,104.000000,0.819904
128,16,208.000000,0.823264
128,16,209.000000,0.825696
128,16,209.000000,0.823584
128,16,208.000000,0.824608
128,16,209.000000,0.821248
128,32,419.000000,0.824992
128,32,417.000000,0.828096
128,32,420.000000,0.827392
128,32,390.000000,0.824032
128,32,426.000000,0.825568
128,64,831.000000,0.842080
128,64,837.000000,0.837600
128,64,772.000000,0.837696
128,64,828.000000,0.839872
128,64,833.000000,0.839680
128,128,1575.000000,0.892928
128,128,1553.000000,0.892672
128,128,1600.000000,0.894560
128,128,1658.000000,0.892864
128,128,1913.000000,0.892928
128,512,6265.000000,3.434336
128,512,6484.000000,3.424064
128,512,6359.000000,3.438656
128,512,6250.000000,3.427936
128,512,6712.000000,3.470912
128,1024,12949.000000,6.897664
128,1024,12656.000000,6.823936
128,1024,12972.000000,6.891360
128,1024,12851.000000,6.902048
128,1024,13053.000000,6.875136
512,1,68.000000,3.448832
512,1,61.000000,3.452864
512,1,63.000000,3.423264
512,1,62.000000,3.420416
512,1,60.000000,3.414016
512,8,475.000000,3.426816
512,8,472.000000,3.455360
512,8,470.000000,3.465632
512,8,481.000000,3.425088
512,8,473.000000,3.418752
512,16,947.000000,3.436544
512,16,912.000000,3.428352
512,16,941.000000,3.471424
512,16,947.000000,3.469536
512,16,1128.000000,3.429120
512,32,1792.000000,3.499072
512,32,1854.000000,3.502592
512,32,1886.000000,3.535808
512,32,1890.000000,3.493760
512,32,2276.000000,3.502048
512,64,3766.000000,6.944128
512,64,3599.000000,6.953440
512,64,3823.000000,7.025728
512,64,3739.000000,7.020768
512,64,3536.000000,7.020736
512,128,7181.000000,13.993984
512,128,7113.000000,13.841696
512,128,7435.000000,13.834048
512,128,7089.000000,13.970464
512,128,7207.000000,13.983040
512,512,30192.000000,55.541374
512,512,29373.000000,55.555454
512,512,29477.000000,55.551712
512,512,28953.000000,55.029282
512,512,29891.000000,55.033920
512,1024,59545.000000,110.959457
512,1024,59511.000000,83.878273
512,1024,59099.000000,83.800766
512,1024,63267.000000,83.668098
512,1024,63110.000000,80.603134
1024,1,124.000000,5.277024
1024,1,134.000000,5.345280
1024,1,175.000000,5.314688
1024,1,129.000000,5.310624
1024,1,169.000000,5.315776
1024,8,1005.000000,5.332704
1024,8,972.000000,5.339936
1024,8,1054.000000,5.335104
1024,8,962.000000,5.328768
1024,8,994.000000,5.332576
1024,16,1985.000000,5.390336
1024,16,2019.000000,5.387328
1024,16,1980.000000,5.385920
1024,16,1985.000000,5.388864
1024,16,1926.000000,7.363808
1024,32,3764.000000,14.698656
1024,32,3858.000000,14.690048
1024,32,4082.000000,14.700896
1024,32,3763.000000,14.696832
1024,32,3749.000000,14.694560
1024,64,9140.000000,29.054976
1024,64,7743.000000,29.048832
1024,64,7487.000000,29.322945
1024,64,8175.000000,29.327841
1024,64,7743.000000,29.318527
1024,128,15201.000000,58.565952
1024,128,15305.000000,58.577023
1024,128,15219.000000,58.012703
1024,128,16395.000000,57.987072
1024,128,15166.000000,58.059776
1024,512,63228.000000,222.163773
1024,512,63718.000000,170.848709
1024,512,63440.000000,170.742950
1024,512,62918.000000,170.669220
1024,512,62426.000000,170.609955
1024,1024,133872.000000,341.186432
1024,1024,122978.000000,341.293762
1024,1024,128123.000000,341.261261
1024,1024,122450.000000,341.232056
1024,1024,123234.000000,341.243774
2048,1,252.000000,11.566848
2048,1,259.000000,11.566720
2048,1,403.000000,11.560832
2048,1,260.000000,11.572288
2048,1,424.000000,11.571104
2048,8,2059.000000,11.607936
2048,8,2057.000000,11.604384
2048,8,2041.000000,11.616096
2048,8,2042.000000,11.603264
2048,8,2719.000000,11.611616
2048,16,4026.000000,11.700384
2048,16,4144.000000,11.705184
2048,16,3910.000000,16.024416
2048,16,3977.000000,16.012768
2048,16,4034.000000,16.015713
2048,32,8983.000000,31.977665
2048,32,7986.000000,31.987713
2048,32,7869.000000,31.834240
2048,32,7994.000000,31.943041
2048,32,8066.000000,31.969280
2048,64,15804.000000,63.821442
2048,64,24233.000000,63.787998
2048,64,17505.000000,63.639423
2048,64,18606.000000,63.742336
2048,64,18449.000000,63.168289
2048,128,33297.000000,126.796829
2048,128,38916.000000,126.976547
2048,128,32341.000000,93.235199
2048,128,32398.000000,92.994400
2048,128,34814.000000,93.047775
2048,512,129797.000000,371.325928
2048,512,131940.000000,371.440857
2048,512,133078.000000,371.309052
2048,512,130673.000000,371.476685
2048,512,144508.000000,371.357910
2048,1024,260554.000000,742.482361
2048,1024,390712.000000,742.567932
2048,1024,304027.000000,742.584778
2048,1024,268030.000000,742.573364
2048,1024,266376.000000,743.079590
